GeneSymbol,PSL
ZFP36,Nucleus
ZFP36,Cytosol
PLN,Mitochondrion
KLRC1,Plasma membrane
KLRC2,Plasma membrane
KLRK1,Plasma membrane
CD27,Plasma membrane
STOM,Mitochondrion
STOM,Endoplasmic reticulum
STOM,Plasma membrane
AK4,Mitochondrion
ANXA13,Plasma membrane
MAOB,Mitochondrion
MARK3,Plasma membrane
G0S2,Mitochondrion
DPP4,Plasma membrane
ARNT,Nucleus
CERS1,Endoplasmic reticulum
RPL10,Nucleus
RPL10,Endoplasmic reticulum
RPL10,Cytosol
RPA1,Nucleus
APEX1,Nucleus
APEX1,Nucleolus
APEX1,Mitochondrion
APEX1,Centrosome
CD82,Plasma membrane
CAD,Nucleus
CAD,Cytosol
CALR,Nucleus
CALR,Endoplasmic reticulum
CALR,Cytosol
PDE4A,Plasma membrane
MAP4,Cytosol
MAP4,Plasma membrane
CANX,Endoplasmic reticulum
ITPKB,Endoplasmic reticulum
PSMB9,Cytosol
PSMA5,Nucleus
PSMA5,Cytosol
POU1F1,Nucleus
POU1F1,Cytosol
PSMB4,Nucleus
PSMB4,Mitochondrion
PSMB6,Nucleus
PSMB6,Mitochondrion
PSMB6,Cytosol
PSMB5,Nucleus
PSMB5,Centrosome
GSTM2,Cytosol
HTR1D,Plasma membrane
HTR1B,Endoplasmic reticulum
HTR1B,Plasma membrane
HTR2A,Plasma membrane
ABCD3,Mitochondrion
ABCD3,Peroxisome
ITPRID2,Cytosol
ITPRID2,Plasma membrane
ELK4,Cytosol
NDUFS1,Mitochondrion
HTR2C,Plasma membrane
NMBR,Cytosol
NMBR,Plasma membrane
POLD1,Nucleus
POLD1,Cytosol
HOXD9,Nucleolus
HOXD10,Cytosol
MSX1,Nucleus
SMARCA1,Nucleus
GABRB3,Plasma membrane
MAPK1,Nucleus
MAPK1,Centrosome
DUSP1,Nucleus
GCA,Cytosol
GCA,Plasma membrane
RXRB,Nucleus
RXRB,Nucleolus
RXRB,Cytosol
ERCC5,Nucleus
GRN,Lysosome
GRN,Endoplasmic reticulum
GRN,Golgi apparatus
GRN,Plasma membrane
PTPRM,Plasma membrane
LAP3,Nucleus
CD34,Plasma membrane
CD38,Plasma membrane
TNFRSF8,Plasma membrane
CD1B,Golgi apparatus
CD1B,Cytosol
CD1C,Lysosome
CD1C,Endoplasmic reticulum
CD1C,Golgi apparatus
GJB2,Plasma membrane
GTF2E1,Nucleus
GTF2E1,Cytosol
GTF2E2,Cytosol
PCSK6,Endoplasmic reticulum
TPP2,Cytosol
ADORA2A,Plasma membrane
CCN2,Golgi apparatus
EPHA2,Plasma membrane
EPHA3,Cytosol
EPHA3,Plasma membrane
EPHA3,Actin cytoskeleton
EPHB2,Plasma membrane
PTPN6,Plasma membrane
PTPN6,Nucleus
PTPN6,Nucleolus
SHC1,Plasma membrane
MPG,Cytosol
CRABP2,Nucleus
CRABP2,Endoplasmic reticulum
CRABP2,Cytosol
ARID4A,Plasma membrane
KDM5A,Nucleus
KDM5A,Nucleolus
LTK,Plasma membrane
CASP1,Cytosol
CASP1,Plasma membrane
NOS3,Golgi apparatus
NOS3,Plasma membrane
NOS1,Plasma membrane
SERPINB3,Nucleus
SERPINB3,Cytosol
SERPINB3,Plasma membrane
LMOD1,Cytosol
RBMS1,Cytosol
PML,Nucleus
PML,Nucleolus
TYK2,Nucleus
EEF1D,Endoplasmic reticulum
EEF1D,Nucleus
EEF1D,Cytosol
PDHA2,Nucleus
PDHA2,Nucleolus
PDHA2,Mitochondrion
CD40LG,Golgi apparatus
CD40LG,Plasma membrane
MARCKS,Centrosome
MARCKS,Cell cortex
AQP1,Plasma membrane
AQP1,Nucleus
ALDH4A1,Mitochondrion
ALDH4A1,Cytosol
ERP29,Endoplasmic reticulum
PRDX6,Nucleus
BLVRB,Cytosol
BLVRB,Plasma membrane
PRDX5,Nucleus
PRDX5,Mitochondrion
PRDX5,Peroxisome
PRDX5,Cytosol
GCHFR,Nucleus
PRDX3,Mitochondrion
PRDX3,Cytosol
PRDX3,Plasma membrane
RPL12,Nucleolus
ECHS1,Mitochondrion
CMPK1,Nucleolus
PEBP1,Nucleus
PDIA3,Nucleus
PDIA3,Endoplasmic reticulum
PPP2R1A,Nucleus
CD6,Plasma membrane
CDC27,Nucleus
CDC27,Centrosome
FCER1G,Plasma membrane
CCND2,Nucleus
CCND2,Nucleolus
CCND2,Cytosol
WEE1,Nucleus
WEE1,Nucleolus
MIP,Endoplasmic reticulum
MIP,Plasma membrane
CDC25B,Centrosome
CDC25C,Nucleus
PPIF,Mitochondrion
TM4SF1,Plasma membrane
BDKRB2,Golgi apparatus
BDKRB2,Plasma membrane
NKTR,Plasma membrane
NMT1,Cytosol
NMT1,Plasma membrane
HLA-F,Endoplasmic reticulum
HLA-F,Plasma membrane
AVPR2,Plasma membrane
HMOX2,Plasma membrane
AXL,Plasma membrane
AXL,Actin cytoskeleton
SLC6A1,Plasma membrane
LRPAP1,Endoplasmic reticulum
LRPAP1,Golgi apparatus
LRPAP1,Plasma membrane
TSPO,Mitochondrion
TSPO,Cytosol
ADORA1,Plasma membrane
GRPR,Plasma membrane
AGTR1,Plasma membrane
ADSL,Cytosol
CLIP1,Centrosome
SRI,Cytosol
GSTT1,Cytosol
GCH1,Nucleus
GCH1,Mitochondrion
GCH1,Cytosol
SLC7A1,Plasma membrane
ALDH1B1,Mitochondrion
ALDH1B1,Cytosol
ALDH3A1,Endoplasmic reticulum
ALDH3A1,Cytosol
ALDH3A1,Plasma membrane
SSTR2,Cytosol
POLR2B,Nucleus
OR10J1,Plasma membrane
SDHA,Nucleolus
SDHA,Mitochondrion
CORO1A,Nucleus
CORO1A,Plasma membrane
GDI1,Endoplasmic reticulum
GDI1,Golgi apparatus
S100A7,Nucleus
S100A7,Endoplasmic reticulum
S100A7,Cytosol
HOXA10,Nucleus
HOXA9,Nucleus
HOXC12,Nucleus
HOXC13,Nucleus
PRKAR1B,Plasma membrane
PRKAR2B,Centrosome
PRKAR2B,Plasma membrane
CPS1,Nucleolus
CPS1,Plasma membrane
RRM2,Nucleus
RRM2,Cytosol
CASQ1,Mitochondrion
CASQ1,Endoplasmic reticulum
TIA1,Nucleus
TIA1,Cytosol
SLC5A2,Plasma membrane
SLC6A6,Plasma membrane
GABRA5,Cytosol
GABRA5,Plasma membrane
SLC6A4,Plasma membrane
DNAJA1,Nucleus
DNAJA1,Mitochondrion
DNAJA1,Cytosol
AKT1,Nucleus
AKT1,Cytosol
AKT1,Plasma membrane
AKT2,Nucleus
AKT2,Cytosol
IL2RG,Plasma membrane
IL2RG,Endoplasmic reticulum
UQCRC1,Mitochondrion
ATIC,Cytosol
ATIC,Plasma membrane
APOBEC3A,Nucleus
HNRNPH3,Nucleus
HNRNPH1,Nucleus
HNRNPH1,Cytosol
CASP14,Mitochondrion
CASP14,Cytosol
CASP14,Nucleus
YWHAB,Cytosol
SFN,Cytosol
SFN,Nucleus
S100A11,Nucleus
FCGR2B,Plasma membrane
L1CAM,Plasma membrane
INPP5B,Golgi apparatus
INPP5B,Cytosol
ARRB2,Nucleus
ARRB2,Cytosol
ARRB2,Plasma membrane
GK,Nucleus
CCKAR,Cytosol
CCKAR,Plasma membrane
CCKBR,Plasma membrane
OTX2,Nucleus
CCR1,Plasma membrane
CCR7,Mitochondrion
CCR7,Plasma membrane
GPR183,Plasma membrane
CHRNA3,Endoplasmic reticulum
CHRNA3,Golgi apparatus
CHRNA3,Plasma membrane
GRK4,Cytosol
GRK4,Plasma membrane
GRK4,Cell cortex
CDA,Cytosol
PYCR1,Mitochondrion
SLC8A1,Plasma membrane
GBP1,Golgi apparatus
GBP1,Cytosol
GBP1,Plasma membrane
GBP1,Actin cytoskeleton
GBP2,Golgi apparatus
GBP2,Nucleus
GBP2,Cytosol
ELF1,Nucleus
STX2,Plasma membrane
CSF2RB,Plasma membrane
RPL9,Nucleus
CD70,Plasma membrane
MC5R,Plasma membrane
CIITA,Cytosol
ACSL1,Mitochondrion
ACSL1,Endoplasmic reticulum
CDH5,Plasma membrane
KIF5B,Mitochondrion
KIF5B,Cytosol
LSP1,Plasma membrane
CYP2C18,Plasma membrane
CYP2C19,Plasma membrane
DUT,Nucleus
DUT,Mitochondrion
ABCC1,Plasma membrane
S100A5,Nucleus
S100A3,Golgi apparatus
S100A3,Cytosol
S100A3,Plasma membrane
H2BC3,Nucleus
H2BC3,Cytosol
ABCD1,Peroxisome
MAN1A1,Golgi apparatus
MAN1A1,Cytosol
MCM4,Nucleus
MCM5,Nucleus
MCM7,Nucleolus
MCM7,Nucleus
MCM7,Cytosol
SDC2,Plasma membrane
CD68,Plasma membrane
SHMT1,Cytosol
SHMT2,Nucleus
SHMT2,Mitochondrion
EPHX2,Peroxisome
EPHX2,Cytosol
HSPA1L,Cytosol
HSPA4,Mitochondrion
HSPA4,Cytosol
GRK5,Cytosol
GRK5,Plasma membrane
CNR2,Endoplasmic reticulum
CRHR1,Plasma membrane
GPC1,Cytosol
GPC1,Plasma membrane
BTC,Plasma membrane
USP6,Plasma membrane
CA5A,Mitochondrion
CTNNA1,Nucleus
CTNNA1,Plasma membrane
CTNNA1,Actin cytoskeleton
CTNNB1,Nucleus
CTNNB1,Centrosome
CTNNB1,Cytosol
CTNNB1,Plasma membrane
CTNNB1,Cell cortex
BMI1,Nucleus
BMI1,Cytosol
PCGF2,Nucleus
NOS2,Peroxisome
PHB1,Nucleus
PHB1,Mitochondrion
PHB1,Plasma membrane
PTPN7,Cytosol
SERPINB6,Nucleus
NF2,Nucleus
NF2,Nucleolus
NF2,Cytosol
NF2,Plasma membrane
RDX,Plasma membrane
RPL22,Nucleus
SPR,Cytosol
SSTR5,Plasma membrane
ADRA1A,Nucleus
ADRA1A,Cytosol
ADRA1A,Plasma membrane
PTGS2,Endoplasmic reticulum
HRH1,Cytosol
HRH1,Plasma membrane
ADRA1B,Nucleus
ADRA1B,Plasma membrane
RORA,Nucleus
RORA,Nucleolus
MAS1L,Cytosol
MAS1L,Plasma membrane
APLNR,Plasma membrane
HOXD12,Nucleus
DRD3,Plasma membrane
SCN1A,Plasma membrane
SCN4A,Plasma membrane
UGT1A3,Endoplasmic reticulum
CBS,Nucleus
CBS,Cytosol
CLCN1,Plasma membrane
KRT9,Nucleus
MSX2,Cytosol
GCK,Cytosol
PCK1,Endoplasmic reticulum
PCK1,Cytosol
IRS1,Cytosol
IRS1,Plasma membrane
AGL,Nucleus
MYH9,Nucleus
MYH9,Cytosol
MYH9,Plasma membrane
MYH9,Actin cytoskeleton
MYH10,Nucleus
MYH10,Cell cortex
ACTN2,Plasma membrane
SOAT1,Endoplasmic reticulum
ADD1,Plasma membrane
ADD1,Nucleus
BSG,Mitochondrion
BSG,Plasma membrane
TIMP3,Nucleus
FUS,Nucleus
DDIT3,Nucleus
DEK,Nucleus
CYLC1,Nucleus
ATP7B,Mitochondrion
ATP7B,Golgi apparatus
HNF1B,Nucleus
SOX6,Nucleus
SOX18,Nucleus
SOX11,Nucleus
SOX11,Plasma membrane
GLRX,Nucleus
CHKA,Cytosol
PPM1A,Nucleus
PPM1A,Cytosol
PPM1A,Plasma membrane
AHR,Nucleus
AHR,Cytosol
KRT20,Cytosol
KRT2,Nucleus
HMGCL,Mitochondrion
HMGCL,Peroxisome
FLT4,Cytosol
FLT4,Plasma membrane
KDR,Nucleus
KDR,Endoplasmic reticulum
KDR,Golgi apparatus
KDR,Plasma membrane
PSMC2,Nucleus
PSMC2,Cytosol
SLC16A2,Plasma membrane
GGT2P,Endoplasmic reticulum
GGT5,Plasma membrane
GJA5,Plasma membrane
GJC1,Endoplasmic reticulum
GJC1,Plasma membrane
TCF7,Nucleus
ARL2,Nucleus
ARL2,Nucleolus
ARL2,Mitochondrion
ARL2,Golgi apparatus
ARL2,Centrosome
ARL2,Cytosol
ARL3,Nucleus
ARL3,Golgi apparatus
ARL3,Centrosome
TRIM23,Nucleus
MAP2K2,Endoplasmic reticulum
MAP2K2,Golgi apparatus
ZNF76,Nucleus
CHRNA7,Plasma membrane
CPOX,Mitochondrion
CPOX,Cytosol
RPL4,Nucleus
RPL4,Nucleolus
NUDT1,Nucleus
NUDT1,Mitochondrion
NUDT1,Cytosol
LONP1,Mitochondrion
LONP1,Cytosol
PPP1CC,Nucleus
PPP1CC,Nucleolus
PPP1CC,Mitochondrion
FLT3,Endoplasmic reticulum
BMPR1A,Plasma membrane
ACVR1B,Cytosol
ACVR1B,Plasma membrane
TGFBR1,Nucleus
TGFBR1,Plasma membrane
GNL1,Nucleus
LTBR,Golgi apparatus
POLR2I,Nucleus
POLR2I,Nucleolus
SREBF1,Nucleus
DLST,Nucleus
DLST,Mitochondrion
DLST,Cytosol
GPX4,Nucleus
GPX4,Cytosol
ACVRL1,Plasma membrane
HSD17B3,Endoplasmic reticulum
SCNN1A,Cytosol
SCNN1A,Plasma membrane
SRP14,Nucleus
TGFBR2,Plasma membrane
NUP62,Centrosome
PPARG,Nucleus
FDFT1,Endoplasmic reticulum
ZEB1,Nucleus
ZEB1,Cytosol
AVPR1A,Plasma membrane
TALDO1,Nucleus
TALDO1,Cytosol
SNCA,Nucleus
SNCA,Cytosol
SNCA,Plasma membrane
SNCA,Cell cortex
SNCA,Actin cytoskeleton
ETFB,Mitochondrion
RBMX,Nucleus
BRCA1,Nucleus
BRCA1,Plasma membrane
COIL,Nucleus
COIL,Nucleolus
COIL,Cytosol
IFNGR2,Plasma membrane
IFNGR2,Endoplasmic reticulum
LIPA,Cytosol
ATP6V1A,Cytosol
HSPA9,Nucleus
HSPA9,Nucleolus
HSPA9,Mitochondrion
EIF4A3,Nucleus
IGHMBP2,Nucleus
CDKN1A,Nucleus
CDKN1A,Nucleolus
RPS19,Nucleolus
RPS19,Cytosol
RPL3,Nucleus
RPL3,Nucleolus
RPL3,Cytosol
GRIK1,Plasma membrane
MPV17,Peroxisome
MPV17,Mitochondrion
DDOST,Endoplasmic reticulum
ANP32A,Nucleus
ANP32A,Endoplasmic reticulum
FEN1,Nucleus
FEN1,Nucleolus
FEN1,Mitochondrion
PLA2G5,Golgi apparatus
PLA2G5,Plasma membrane
CUX1,Nucleus
CUX1,Golgi apparatus
GDNF,Golgi apparatus
CAPG,Nucleus
CAPG,Nucleolus
CAP2,Plasma membrane
DCT,Plasma membrane
IL6ST,Plasma membrane
MYCNOS,Nucleus
CCT6A,Cytosol
MPL,Golgi apparatus
MPL,Plasma membrane
IFI27,Mitochondrion
VHL,Endoplasmic reticulum
VHL,Plasma membrane
ADH7,Cytosol
ADH7,Plasma membrane
PBX1,Nucleus
PBX2,Nucleus
RPL13A,Nucleus
RPL13A,Nucleolus
ARL1,Golgi apparatus
ARL4A,Nucleus
ARL4A,Nucleolus
ARL4A,Cytosol
ARL4A,Plasma membrane
MLH1,Nucleus
STAT3,Nucleus
STAT3,Cytosol
USP8,Cytosol
USP8,Nucleus
USP8,Plasma membrane
PEX19,Peroxisome
PEX19,Cytosol
SLC26A3,Plasma membrane
MDH1,Centrosome
MDH1,Cytosol
MDH2,Nucleus
MDH2,Mitochondrion
IL15,Cytosol
HADHA,Mitochondrion
PMEL,Endoplasmic reticulum
PMEL,Golgi apparatus
CCNF,Nucleus
CCNF,Centrosome
EIF2S3,Nucleus
OPRD1,Plasma membrane
OPRK1,Mitochondrion
OPRK1,Cytosol
OPRK1,Plasma membrane
OPRL1,Plasma membrane
ETV5,Nucleus
CASR,Plasma membrane
AQP2,Golgi apparatus
AQP2,Plasma membrane
BCL6,Nucleus
BCL6,Nucleolus
BCL6,Golgi apparatus
CETN2,Centrosome
ETV6,Nucleolus
ETV6,Cytosol
EIF2D,Cytosol
MNDA,Nucleolus
MNDA,Cytosol
RGS2,Nucleus
RGS2,Nucleolus
RGS2,Mitochondrion
RGS2,Cytosol
RGS2,Plasma membrane
BUD31,Nucleus
NAA10,Nucleus
NAA10,Nucleolus
NAA10,Cytosol
KDM5C,Nucleus
KDM5C,Cytosol
HNF4A,Nucleus
APOBEC1,Nucleus
CSK,Plasma membrane
PNPLA4,Mitochondrion
GARS1,Cytosol
IARS1,Cytosol
MAP3K8,Cytosol
SLC19A1,Plasma membrane
EIF1,Nucleus
HTR2B,Plasma membrane
CCR2,Plasma membrane
PRKCI,Nucleus
PRKCI,Cytosol
ELK3,Nucleus
ELK3,Mitochondrion
ACTR1B,Centrosome
CD86,Plasma membrane
ECI1,Mitochondrion
TMPO,Nucleus
STAT1,Nucleus
STAT1,Nucleolus
STAT1,Cytosol
STAT6,Nucleus
STAT6,Cytosol
STAT5A,Nucleus
STAT5A,Cytosol
GRIA3,Plasma membrane
MTREX,Nucleus
MTREX,Nucleolus
AKR1C3,Nucleus
PIK3CB,Nucleus
PIK3CB,Nucleolus
MTOR,Cytosol
MTOR,Lysosome
PI4KA,Plasma membrane
EPS15,Cytosol
EPS15,Plasma membrane
MLLT3,Cytosol
CASP3,Nucleus
CASP3,Cytosol
RPS27,Nucleus
RPS27,Nucleolus
TEC,Plasma membrane
TXK,Nucleus
TXK,Nucleolus
TXK,Cytosol
TXK,Plasma membrane
FRK,Cytosol
HELZ,Nucleus
RBM34,Nucleolus
LRPPRC,Mitochondrion
LRPPRC,Nucleus
ACAA2,Mitochondrion
WAS,Nucleus
WAS,Cytosol
WAS,Plasma membrane
CDKN2A,Nucleus
CDKN2B,Nucleus
CDKN2C,Nucleus
NSG1,Endoplasmic reticulum
HTT,Nucleus
HTT,Endoplasmic reticulum
HTT,Golgi apparatus
HTT,Cytosol
SLC1A1,Plasma membrane
SLC1A1,Endoplasmic reticulum
SLC1A4,Centrosome
GDF5,Plasma membrane
PAFAH1B1,Centrosome
PAFAH1B1,Cell cortex
PTGFR,Plasma membrane
PTGER3,Plasma membrane
PTGIR,Cytosol
PTGIR,Plasma membrane
CRAT,Mitochondrion
CRAT,Peroxisome
CRAT,Endoplasmic reticulum
GLP1R,Plasma membrane
CTSO,Lysosome
CTSK,Lysosome
MSH2,Nucleus
ETV4,Nucleolus
GPD2,Mitochondrion
SSR1,Endoplasmic reticulum
RAD52,Nucleus
ALDH3B1,Cytosol
NR4A2,Nucleus
MAGEA1,Nucleus
MAGEA2,Nucleus
MAGEA3,Endoplasmic reticulum
MAGEA10,Cytosol
MAGEA11,Cytosol
ZAP70,Plasma membrane
SYK,Nucleus
RANBP1,Cytosol
KIR2DL1,Plasma membrane
LPAR6,Plasma membrane
PSMC4,Nucleus
PSMC4,Cytosol
GATA4,Nucleus
NKX2-1,Nucleus
TSFM,Mitochondrion
ASPA,Nucleus
ASPA,Cytosol
ABCG1,Mitochondrion
ABCG1,Golgi apparatus
ABCG1,Plasma membrane
VDAC2,Nucleus
VDAC2,Mitochondrion
ACADSB,Mitochondrion
CBX5,Nucleus
CBX5,Nucleolus
MAPK8,Nucleus
MAPK9,Mitochondrion
MAPK9,Cytosol
MAPK9,Plasma membrane
MAP2K4,Nucleus
MKI67,Nucleus
MKI67,Nucleolus
PHKA2,Plasma membrane
PHKA1,Plasma membrane
SLC15A1,Plasma membrane
RANGAP1,Cytosol
RECQL,Nucleus
NOP2,Nucleus
NOP2,Nucleolus
CMKLR2,Plasma membrane
CCR10,Endoplasmic reticulum
GPR4,Plasma membrane
CRK,Plasma membrane
CRK,Actin cytoskeleton
CRKL,Cytosol
MTIF2,Mitochondrion
BAG6,Nucleus
BAG6,Cytosol
GSTM5,Cytosol
NSF,Golgi apparatus
NSF,Cytosol
NSF,Plasma membrane
CDKN1B,Nucleus
IER3,Nucleus
IER3,Mitochondrion
SLCO1A2,Plasma membrane
BRCC3,Nucleus
RPL27A,Endoplasmic reticulum
RPL27A,Cytosol
RPL5,Nucleus
RPL5,Nucleolus
RPL5,Endoplasmic reticulum
RPL5,Cytosol
RPL21,Endoplasmic reticulum
RPS9,Nucleus
RPS9,Nucleolus
RPS5,Nucleolus
RPS10,Nucleolus
RPS10,Cytosol
MAP1B,Cytosol
MAP1B,Plasma membrane
NEDD4,Nucleus
NEDD4,Golgi apparatus
NEDD4,Plasma membrane
NEDD4,Cell cortex
YAP1,Nucleus
YAP1,Cytosol
UTRN,Plasma membrane
IQGAP1,Nucleus
IQGAP1,Plasma membrane
HAAO,Cytosol
GALR1,Plasma membrane
PLA2G4A,Cytosol
RAP1GAP,Cytosol
GABRB2,Plasma membrane
GCGR,Plasma membrane
OR1G1,Plasma membrane
QARS1,Cytosol
P2RY1,Plasma membrane
AVPR1B,Golgi apparatus
AVPR1B,Plasma membrane
LGALS7,Nucleus
UQCRFS1,Mitochondrion
XDH,Cytosol
XDH,Peroxisome
FASLG,Nucleus
FASLG,Plasma membrane
MTNR1A,Plasma membrane
ATP5PO,Nucleus
ATP5PO,Mitochondrion
ATP5PO,Plasma membrane
KCNJ6,Golgi apparatus
KCNJ6,Plasma membrane
LIMS1,Plasma membrane
PREP,Nucleus
PREP,Cytosol
GJA8,Plasma membrane
GLRB,Plasma membrane
RFX5,Nucleus
PIP4K2A,Cytosol
PIP4K2A,Plasma membrane
SOX2,Nucleus
SOX2,Cytosol
SOX9,Nucleus
PPP3CC,Mitochondrion
GCLC,Mitochondrion
PCP4,Nucleus
PCP4,Cytosol
IFNAR2,Plasma membrane
NRIP1,Nucleus
NRIP1,Nucleolus
NRIP1,Cytosol
PSMD8,Nucleus
SERPINB4,Cytosol
SERPINB4,Plasma membrane
SERPINB10,Cytosol
PRRC2A,Cytosol
PRRC2A,Plasma membrane
CCT5,Centrosome
SLC1A6,Golgi apparatus
SLC1A6,Plasma membrane
HSPA13,Endoplasmic reticulum
AMT,Mitochondrion
CSNK1A1,Centrosome
CSNK1A1,Cytosol
CSNK1D,Golgi apparatus
CSNK1D,Centrosome
CSNK1D,Plasma membrane
IDH2,Mitochondrion
IDH2,Peroxisome
IDH2,Cytosol
PIK3CG,Cytosol
PIK3CG,Plasma membrane
MASP1,Cytosol
SLC4A3,Plasma membrane
SLC9A3,Plasma membrane
TNNI2,Nucleus
TRPC1,Plasma membrane
MARCKSL1,Plasma membrane
PXN,Cytosol
PXN,Plasma membrane
PXN,Cell cortex
CAMLG,Endoplasmic reticulum
MAPKAPK2,Nucleus
MAPKAPK2,Centrosome
DNASE1L1,Endoplasmic reticulum
RPL34,Nucleolus
RPL34,Endoplasmic reticulum
RPL34,Cytosol
TGM4,Golgi apparatus
CX3CR1,Plasma membrane
LMAN1,Endoplasmic reticulum
SLC11A2,Nucleus
SLC11A2,Mitochondrion
SLC11A2,Golgi apparatus
SLC11A2,Plasma membrane
FMO5,Endoplasmic reticulum
FMO5,Cytosol
FASN,Golgi apparatus
FASN,Cytosol
FASN,Plasma membrane
POU3F4,Nucleus
CDK8,Nucleus
CDK8,Nucleolus
FNTA,Plasma membrane
MRPL19,Nucleus
MRPL19,Mitochondrion
ARRB1,Nucleus
TUFM,Mitochondrion
ALDH7A1,Nucleus
ALDH7A1,Mitochondrion
ALDH7A1,Cytosol
CDC34,Cytosol
GLUD2,Cytosol
GLUD2,Mitochondrion
CENPA,Nucleus
CENPF,Nucleus
CENPF,Centrosome
CENPF,Cytosol
UBE2A,Lysosome
PCYT1A,Nucleus
PCYT1A,Endoplasmic reticulum
PCYT1A,Cytosol
AARS1,Cytosol
CARS1,Cytosol
HARS2,Mitochondrion
SARS1,Nucleus
SARS1,Cytosol
PPM1F,Cytosol
DGKG,Cytosol
CASP4,Cytosol
CASP4,Mitochondrion
CASP4,Endoplasmic reticulum
CASP4,Plasma membrane
GPR15,Plasma membrane
ARL4D,Nucleolus
ARL4D,Plasma membrane
CTCF,Nucleus
CTCF,Nucleolus
CEBPA,Nucleus
CEBPA,Nucleolus
PSMB3,Nucleus
PSMB2,Nucleus
MCM2,Nucleolus
MCM2,Nucleus
ACADVL,Nucleolus
ACADVL,Mitochondrion
YLPM1,Nucleus
ACOT2,Mitochondrion
VPS41,Lysosome
VPS41,Golgi apparatus
VPS41,Cytosol
TMED10,Endoplasmic reticulum
TMED10,Golgi apparatus
RGS6,Nucleus
RGS6,Cytosol
CLK2,Nucleus
CLK3,Nucleus
PSEN1,Mitochondrion
PSEN1,Endoplasmic reticulum
PSEN1,Golgi apparatus
PSEN1,Centrosome
PSEN1,Plasma membrane
PSEN1,Cell cortex
FLT3LG,Plasma membrane
HINT1,Nucleus
HINT1,Cytosol
HINT1,Plasma membrane
FHIT,Mitochondrion
FHIT,Cytosol
FHIT,Plasma membrane
NUP153,Nucleolus
NUP153,Cytosol
RGS3,Plasma membrane
RGS4,Nucleus
RGS7,Plasma membrane
RGS7,Cytosol
PSEN2,Endoplasmic reticulum
PSEN2,Golgi apparatus
PSEN2,Centrosome
PSEN2,Plasma membrane
TSC2,Nucleus
TSC2,Golgi apparatus
TSC2,Lysosome
TSC2,Cytosol
NDUFV1,Mitochondrion
NDUFV1,Cytosol
GSK3A,Mitochondrion
GSK3B,Nucleus
GSK3B,Mitochondrion
GSK3B,Centrosome
GSK3B,Plasma membrane
TAF6,Cytosol
SULT1E1,Cytosol
NT5C2,Cytosol
SEPHS1,Plasma membrane
ZNF165,Nucleus
MTHFS,Cytosol
GMPS,Cytosol
LIG3,Mitochondrion
LIG4,Nucleus
CDKN1C,Nucleus
ENTPD1,Plasma membrane
HNMT,Cytosol
HNMT,Centrosome
GNAQ,Golgi apparatus
IDH3A,Nucleus
IDH3A,Mitochondrion
MNX1,Nucleolus
MNX1,Cytosol
MEOX2,Nucleus
MMP14,Plasma membrane
MMP14,Cytosol
GDI2,Golgi apparatus
EMD,Endoplasmic reticulum
CPT1A,Mitochondrion
GATM,Mitochondrion
SERPINB8,Cytosol
SERPINB9,Nucleus
SERPINB9,Golgi apparatus
SERPINB9,Cytosol
SERPINH1,Endoplasmic reticulum
CSRP3,Cytosol
PDLIM4,Nucleus
ST13,Cytosol
MXI1,Nucleolus
MXI1,Cytosol
PEX5,Cytosol
PEX5,Mitochondrion
PEX5,Peroxisome
PEX5,Golgi apparatus
ERF,Cytosol
VASP,Cytosol
VASP,Plasma membrane
ASCL1,Nucleus
DNM2,Golgi apparatus
DNM2,Centrosome
DNM2,Cytosol
METAP2,Cytosol
METAP2,Plasma membrane
TNFSF10,Plasma membrane
TUB,Nucleus
TUB,Cytosol
TUB,Plasma membrane
CDK7,Nucleus
CDK7,Cytosol
CDK7,Plasma membrane
HLCS,Mitochondrion
HLCS,Cytosol
KNTC1,Cytosol
KNTC1,Plasma membrane
KNTC1,Actin cytoskeleton
RASSF2,Nucleus
RASSF2,Golgi apparatus
RASSF2,Cytosol
RASSF2,Plasma membrane
CDK9,Nucleus
LRBA,Golgi apparatus
LRBA,Plasma membrane
RNF144A,Golgi apparatus
RNF144A,Plasma membrane
PPT1,Nucleus
PPT1,Lysosome
PPT1,Golgi apparatus
CCT8,Centrosome
CCT8,Cytosol
CCT4,Centrosome
CCT4,Cytosol
ATP1A2,Endoplasmic reticulum
ATP1A2,Plasma membrane
ANXA11,Cytosol
FXR1,Cytosol
FXR2,Cytosol
RAB7A,Lysosome
RAB7A,Mitochondrion
RAB7A,Golgi apparatus
RAB9A,Lysosome
RAB9A,Plasma membrane
RAB13,Golgi apparatus
RAB13,Cytosol
RAB13,Plasma membrane
RAB28,Plasma membrane
RAB27A,Lysosome
PDE6C,Plasma membrane
SCNN1B,Plasma membrane
SCNN1G,Plasma membrane
SCNN1D,Plasma membrane
SCNN1D,Actin cytoskeleton
DAP3,Mitochondrion
RORC,Nucleus
DUSP3,Nucleus
DUSP3,Cytosol
MMP16,Plasma membrane
NOVA1,Nucleolus
ZNF83,Nucleus
DNA2,Nucleus
DNA2,Mitochondrion
SMARCA2,Nucleus
SMARCA4,Nucleus
SMARCA4,Nucleolus
IDH3G,Nucleolus
IDH3G,Mitochondrion
SSR4,Endoplasmic reticulum
BCAP31,Endoplasmic reticulum
BCAP31,Plasma membrane
